Cidade,Uf,mes/ano,churn
SAO PAULO,SP,01/06/2022,"8,77%"
RIO DE JANEIRO,RJ,01/06/2022,"10,67%"
SALVADOR,BA,01/06/2022,"13,43%"
BRASILIA,DF,01/06/2022,"8,14%"
FORTALEZA,CE,01/06/2022,"11,69%"
BELO HORIZONTE,MG,01/06/2022,"7,37%"
MANAUS,AM,01/06/2022,"11,66%"
CURITIBA,PR,01/06/2022,"6,61%"
RECIFE,PE,01/06/2022,"8,29%"
BELEM,PA,01/06/2022,"10,57%"
PORTO ALEGRE,RS,01/06/2022,"7,45%"
GOIANIA,GO,01/06/2022,"10,13%"
GUARULHOS,SP,01/06/2022,"8,80%"
CAMPINAS,SP,01/06/2022,"7,94%"
SAO LUIS,MA,01/06/2022,"9,10%"
SAO GONCALO,RJ,01/06/2022,"11,23%"
MACEIO,AL,01/06/2022,"11,00%"
DUQUE DE CAXIAS,RJ,01/06/2022,"11,19%"
NATAL,RN,01/06/2022,"11,92%"
TERESINA,PI,01/06/2022,"8,13%"
NOVA IGUACU,RJ,01/06/2022,"13,64%"
CAMPO GRANDE,MS,01/06/2022,"10,85%"
JOAO PESSOA,PB,01/06/2022,"10,27%"
SAO BERNARDO DO CAMPO,SP,01/06/2022,"8,59%"
OSASCO,SP,01/06/2022,"9,56%"
SANTO ANDRE,SP,01/06/2022,"11,55%"
JABOATAO DOS GUARARAPES,PE,01/06/2022,"13,63%"
SAO JOSE DOS CAMPOS,SP,01/06/2022,"7,17%"
CONTAGEM,MG,01/06/2022,"7,85%"
RIBEIRAO PRETO,SP,01/06/2022,"7,11%"
UBERLANDIA,MG,01/06/2022,"8,94%"
SOROCABA,SP,01/06/2022,"8,38%"
ARACAJU,SE,01/06/2022,"19,05%"
CUIABA,MT,01/06/2022,"9,47%"
FEIRA DE SANTANA,BA,01/06/2022,"11,25%"
JUIZ DE FORA,MG,01/06/2022,"7,14%"
JOINVILLE,SC,01/06/2022,"7,86%"
LONDRINA,PR,01/06/2022,"4,74%"
BELFORD ROXO,RJ,01/06/2022,"18,93%"
ANANINDEUA,PA,01/06/2022,"16,47%"
SAO JOAO DE MERITI,RJ,01/06/2022,"13,25%"
APARECIDA DE GOIANIA,GO,01/06/2022,"17,62%"
NITEROI,RJ,01/06/2022,"7,57%"
CAMPOS DOS GOYTACAZES,RJ,01/06/2022,"14,12%"
CAXIAS DO SUL,RS,01/06/2022,"8,68%"
MAUA,SP,01/06/2022,"9,95%"
FLORIANOPOLIS,SC,01/06/2022,"7,09%"
VILA VELHA,ES,01/06/2022,"8,13%"
