Cidade-Uf,mes/ano,chs
SAO PAULO-SP,01/06/2022,"78,60%"
RIO DE JANEIRO-RJ,01/06/2022,"72,00%"
SALVADOR-BA,01/06/2022,"51,20%"
BRASILIA-DF,01/06/2022,"55,70%"
FORTALEZA-CE,01/06/2022,"65,20%"
BELO HORIZONTE-MG,01/06/2022,"86,00%"
MANAUS-AM,01/06/2022,"49,90%"
CURITIBA-PR,01/06/2022,"82,40%"
RECIFE-PE,01/06/2022,"76,40%"
BELEM-PA,01/06/2022,"49,30%"
PORTO ALEGRE-RS,01/06/2022,"79,70%"
GOIANIA-GO,01/06/2022,"73,90%"
GUARULHOS-SP,01/06/2022,"70,30%"
CAMPINAS-SP,01/06/2022,"77,50%"
SAO LUIS-MA,01/06/2022,"38,90%"
SAO GONCALO-RJ,01/06/2022,"57,90%"
MACEIO-AL,01/06/2022,"58,90%"
DUQUE DE CAXIAS-RJ,01/06/2022,"47,00%"
NATAL-RN,01/06/2022,"51,00%"
TERESINA-PI,01/06/2022,"43,20%"
NOVA IGUACU-RJ,01/06/2022,"56,60%"
CAMPO GRANDE-MS,01/06/2022,"74,10%"
JOAO PESSOA-PB,01/06/2022,"67,50%"
SAO BERNARDO DO CAMPO-SP,01/06/2022,"66,70%"
OSASCO-SP,01/06/2022,"77,80%"
SANTO ANDRE-SP,01/06/2022,"87,70%"
JABOATAO DOS GUARARAPES-PE,01/06/2022,"48,70%"
SAO JOSE DOS CAMPOS-SP,01/06/2022,"70,10%"
CONTAGEM-MG,01/06/2022,"87,90%"
RIBEIRAO PRETO-SP,01/06/2022,"80,70%"
UBERLANDIA-MG,01/06/2022,"72,00%"
SOROCABA-SP,01/06/2022,"77,00%"
ARACAJU-SE,01/06/2022,"68,80%"
CUIABA-MT,01/06/2022,"62,30%"
FEIRA DE SANTANA-BA,01/06/2022,"44,20%"
JUIZ DE FORA-MG,01/06/2022,"68,40%"
JOINVILLE-SC,01/06/2022,"55,00%"
LONDRINA-PR,01/06/2022,"70,60%"
BELFORD ROXO-RJ,01/06/2022,"56,60%"
ANANINDEUA-PA,01/06/2022,"68,40%"
SAO JOAO DE MERITI-RJ,01/06/2022,"82,30%"
APARECIDA DE GOIANIA-GO,01/06/2022,"75,00%"
NITEROI-RJ,01/06/2022,"84,00%"
CAMPOS DOS GOYTACAZES-RJ,01/06/2022,"48,80%"
CAXIAS DO SUL-RS,01/06/2022,"67,80%"
MAUA-SP,01/06/2022,"66,30%"
FLORIANOPOLIS-SC,01/06/2022,"86,40%"
VILA VELHA-ES,01/06/2022,"76,70%"
SANTOS-SP,01/06/2022,"70,10%"
SAO JOSE DO RIO PRETO-SP,01/06/2022,"83,80%"
PORTO VELHO-RO,01/06/2022,"53,90%"
SERRA-ES,01/06/2022,"59,20%"
DIADEMA-SP,01/06/2022,"82,20%"
OLINDA-PE,01/06/2022,"74,10%"
MACAPA-AP,01/06/2022,"28,10%"
BETIM-MG,01/06/2022,"56,00%"
CAMPINA GRANDE-PB,01/06/2022,"60,00%"
MOGI DAS CRUZES-SP,01/06/2022,"69,60%"
CARAPICUIBA-SP,01/06/2022,"85,10%"
PIRACICABA-SP,01/06/2022,"66,30%"
