Cidade;Uf;mes/ano;mub
SAO PAULO;SP;01/06/2022;726371
RIO DE JANEIRO;RJ;01/06/2022;438506
SALVADOR;BA;01/06/2022;100580
BRASILIA;DF;01/06/2022;262343
FORTALEZA;CE;01/06/2022;111628
BELO HORIZONTE;MG;01/06/2022;195980
MANAUS;AM;01/06/2022;76518
CURITIBA;PR;01/06/2022;236018
RECIFE;PE;01/06/2022;72159
BELEM;PA;01/06/2022;55020
PORTO ALEGRE;RS;01/06/2022;133577
GOIANIA;GO;01/06/2022;139700
GUARULHOS;SP;01/06/2022;62078
CAMPINAS;SP;01/06/2022;102161
SAO LUIS;MA;01/06/2022;39902
SAO GONCALO;RJ;01/06/2022;49538
MACEIO;AL;01/06/2022;48298
DUQUE DE CAXIAS;RJ;01/06/2022;29653
NATAL;RN;01/06/2022;59354
TERESINA;PI;01/06/2022;50198
NOVA IGUACU;RJ;01/06/2022;21909
CAMPO GRANDE;MS;01/06/2022;56816
JOAO PESSOA;PB;01/06/2022;70362
SAO BERNARDO DO CAMPO;SP;01/06/2022;76752
OSASCO;SP;01/06/2022;42384
SANTO ANDRE;SP;01/06/2022;58169
JABOATAO DOS GUARARAPES;PE;01/06/2022;20528
SAO JOSE DOS CAMPOS;SP;01/06/2022;73767
CONTAGEM;MG;01/06/2022;28343
RIBEIRAO PRETO;SP;01/06/2022;63048
UBERLANDIA;MG;01/06/2022;68679
SOROCABA;SP;01/06/2022;78591
ARACAJU;SE;01/06/2022;39016
CUIABA;MT;01/06/2022;37730
FEIRA DE SANTANA;BA;01/06/2022;24443
JUIZ DE FORA;MG;01/06/2022;55024
JOINVILLE;SC;01/06/2022;27430
LONDRINA;PR;01/06/2022;58471
BELFORD ROXO;RJ;01/06/2022;13477
ANANINDEUA;PA;01/06/2022;18041
SAO JOAO DE MERITI;RJ;01/06/2022;12718
APARECIDA DE GOIANIA;GO;01/06/2022;17589
NITEROI;RJ;01/06/2022;64282
CAMPOS DOS GOYTACAZES;RJ;01/06/2022;35198
CAXIAS DO SUL;RS;01/06/2022;19952
MAUA;SP;01/06/2022;24697
FLORIANOPOLIS;SC;01/06/2022;76740
VILA VELHA;ES;01/06/2022;53336
SANTOS;SP;01/06/2022;26318
SAO JOSE DO RIO PRETO;SP;01/06/2022;35769
PORTO VELHO;RO;01/06/2022;24558
SERRA;ES;01/06/2022;37146
DIADEMA;SP;01/06/2022;19198
OLINDA;PE;01/06/2022;14195
MACAPA;AP;01/06/2022;10334
BETIM;MG;01/06/2022;33801
CAMPINA GRANDE;PB;01/06/2022;24882
MOGI DAS CRUZES;SP;01/06/2022;29560
CARAPICUIBA;SP;01/06/2022;34613
PIRACICABA;SP;01/06/2022;45846
MONTES CLAROS;MG;01/06/2022;20418
JUNDIAI;SP;01/06/2022;41399
MARINGA;PR;01/06/2022;56436
CARIACICA;ES;01/06/2022;18840
BAURU;SP;01/06/2022;21182
ANAPOLIS;GO;01/06/2022;19800
RIO BRANCO;AC;01/06/2022;17450
CANOAS;RS;01/06/2022;37452
SAO VICENTE;SP;01/06/2022;10228
VITORIA;ES;01/06/2022;39648
PELOTAS;RS;01/06/2022;21332
FRANCA;SP;01/06/2022;35197
ITAQUAQUECETUBA;SP;01/06/2022;8509
BLUMENAU;SC;01/06/2022;26196
PONTA GROSSA;PR;01/06/2022;22579
CARUARU;PE;01/06/2022;29466
CAUCAIA;CE;01/06/2022;4910
RIBEIRAO DAS NEVES;MG;01/06/2022;9962
VITORIA DA CONQUISTA;BA;01/06/2022;19587
PAULISTA;PE;01/06/2022;16977
