Cidade-Uf,mes/ano,restaurantes
SAO PAULO-SP,01/06/2022,9564
RIO DE JANEIRO-RJ,01/06/2022,8241
SALVADOR-BA,01/06/2022,2699
BRASILIA-DF,01/06/2022,6291
FORTALEZA-CE,01/06/2022,1520
BELO HORIZONTE-MG,01/06/2022,3493
MANAUS-AM,01/06/2022,2052
CURITIBA-PR,01/06/2022,5036
RECIFE-PE,01/06/2022,1010
BELEM-PA,01/06/2022,1022
PORTO ALEGRE-RS,01/06/2022,2454
GOIANIA-GO,01/06/2022,3279
GUARULHOS-SP,01/06/2022,879
CAMPINAS-SP,01/06/2022,1751
SAO LUIS-MA,01/06/2022,1085
SAO GONCALO-RJ,01/06/2022,1563
MACEIO-AL,01/06/2022,677
DUQUE DE CAXIAS-RJ,01/06/2022,679
NATAL-RN,01/06/2022,1198
TERESINA-PI,01/06/2022,1361
NOVA IGUACU-RJ,01/06/2022,460
CAMPO GRANDE-MS,01/06/2022,1222
JOAO PESSOA-PB,01/06/2022,1431
SAO BERNARDO DO CAMPO-SP,01/06/2022,1688
OSASCO-SP,01/06/2022,596
SANTO ANDRE-SP,01/06/2022,927
JABOATAO DOS GUARARAPES-PE,01/06/2022,627
SAO JOSE DOS CAMPOS-SP,01/06/2022,1783
CONTAGEM-MG,01/06/2022,451
RIBEIRAO PRETO-SP,01/06/2022,1083
UBERLANDIA-MG,01/06/2022,1299
SOROCABA-SP,01/06/2022,1708
ARACAJU-SE,01/06/2022,507
CUIABA-MT,01/06/2022,845
FEIRA DE SANTANA-BA,01/06/2022,629
JUIZ DE FORA-MG,01/06/2022,1310
JOINVILLE-SC,01/06/2022,367
LONDRINA-PR,01/06/2022,908
BELFORD ROXO-RJ,01/06/2022,355
ANANINDEUA-PA,01/06/2022,612
SAO JOAO DE MERITI-RJ,01/06/2022,236
APARECIDA DE GOIANIA-GO,01/06/2022,437
NITEROI-RJ,01/06/2022,1323
CAMPOS DOS GOYTACAZES-RJ,01/06/2022,790
CAXIAS DO SUL-RS,01/06/2022,239
MAUA-SP,01/06/2022,422
FLORIANOPOLIS-SC,01/06/2022,1866
VILA VELHA-ES,01/06/2022,1395
SANTOS-SP,01/06/2022,368
SAO JOSE DO RIO PRETO-SP,01/06/2022,708
PORTO VELHO-RO,01/06/2022,592
SERRA-ES,01/06/2022,863
DIADEMA-SP,01/06/2022,257
OLINDA-PE,01/06/2022,324
MACAPA-AP,01/06/2022,363
BETIM-MG,01/06/2022,823
CAMPINA GRANDE-PB,01/06/2022,248
MOGI DAS CRUZES-SP,01/06/2022,554
CARAPICUIBA-SP,01/06/2022,689
PIRACICABA-SP,01/06/2022,1016
MONTES CLAROS-MG,01/06/2022,269
JUNDIAI-SP,01/06/2022,678
MARINGA-PR,01/06/2022,1057
CARIACICA-ES,01/06/2022,454
BAURU-SP,01/06/2022,291
ANAPOLIS-GO,01/06/2022,438
RIO BRANCO-AC,01/06/2022,398
CANOAS-RS,01/06/2022,761
SAO VICENTE-SP,01/06/2022,194
VITORIA-ES,01/06/2022,613
PELOTAS-RS,01/06/2022,487
FRANCA-SP,01/06/2022,715
ITAQUAQUECETUBA-SP,01/06/2022,149
BLUMENAU-SC,01/06/2022,385
PONTA GROSSA-PR,01/06/2022,482
CARUARU-PE,01/06/2022,636
CAUCAIA-CE,01/06/2022,80
RIBEIRAO DAS NEVES-MG,01/06/2022,238
VITORIA DA CONQUISTA-BA,01/06/2022,487
PAULISTA-PE,01/06/2022,467
PETROPOLIS-RJ,01/06/2022,196
GUARUJA-SP,01/06/2022,353
UBERABA-MG,01/06/2022,554
PETROLINA-PE,01/06/2022,393
BOA VISTA-RR,01/06/2022,150
TAUBATE-SP,01/06/2022,456
CASCAVEL-PR,01/06/2022,520
SANTAREM-PA,01/06/2022,297
LIMEIRA-SP,01/06/2022,244
SUZANO-SP,01/06/2022,330
SAO JOSE DOS PINHAIS-PR,01/06/2022,443
PRAIA GRANDE-SP,01/06/2022,1051
GOVERNADOR VALADARES-MG,01/06/2022,181
VOLTA REDONDA-RJ,01/06/2022,332
GRAVATAI-RS,01/06/2022,338
MOSSORO-RN,01/06/2022,382
SANTA MARIA-RS,01/06/2022,124
FOZ DO IGUACU-PR,01/06/2022,360
VARZEA GRANDE-MT,01/06/2022,281
NOVO HAMBURGO-RS,01/06/2022,504
IMPERATRIZ-MA,01/06/2022,117
JUAZEIRO DO NORTE-CE,01/06/2022,264
SUMARE-SP,01/06/2022,466
BARUERI-SP,01/06/2022,852
IPATINGA-MG,01/06/2022,161
CAMACARI-BA,01/06/2022,236
VIAMAO-RS,01/06/2022,204
EMBU DAS ARTES-SP,01/06/2022,332
ITABORAI-RJ,01/06/2022,80
TABOAO DA SERRA-SP,01/06/2022,270
MAGE-RJ,01/06/2022,155
MARABA-PA,01/06/2022,228
PALMAS-TO,01/06/2022,159
SAO CARLOS-SP,01/06/2022,375
COLOMBO-PR,01/06/2022,302
ARAPIRACA-AL,01/06/2022,337
MARILIA-SP,01/06/2022,194
SETE LAGOAS-MG,01/06/2022,264
SAO LEOPOLDO-RS,01/06/2022,346
DIVINOPOLIS-MG,01/06/2022,492
MARACANAU-CE,01/06/2022,74
AMERICANA-SP,01/06/2022,332
JACAREI-SP,01/06/2022,374
ITAPEVI-SP,01/06/2022,399
PARNAMIRIM-RN,01/06/2022,146
PRESIDENTE PRUDENTE-SP,01/06/2022,364
ARARAQUARA-SP,01/06/2022,422
MACAE-RJ,01/06/2022,509
ITABUNA-BA,01/06/2022,84
SAO JOSE-SC,01/06/2022,501
SANTA LUZIA-MG,01/06/2022,254
INDAIATUBA-SP,01/06/2022,660
ALVORADA-RS,01/06/2022,86
COTIA-SP,01/06/2022,321
JUAZEIRO-BA,01/06/2022,130
HORTOLANDIA-SP,01/06/2022,574
RIO GRANDE-RS,01/06/2022,123
DOURADOS-MS,01/06/2022,226
CRICIUMA-SC,01/06/2022,263
RONDONOPOLIS-MT,01/06/2022,322
CACHOEIRO DE ITAPEMIRIM-ES,01/06/2022,91
CABO FRIO-RJ,01/06/2022,354
RIO CLARO-SP,01/06/2022,340
SOBRAL-CE,01/06/2022,192
SANTA BARBARA DOESTE-SP,01/06/2022,121
PASSO FUNDO-RS,01/06/2022,211
ARACATUBA-SP,01/06/2022,375
