cidade;renda_media;populacao;leads_total
SAO PAULO-SP;1807;10481993;359982
RIO DE JANEIRO-RJ;1794;5791611;184266
SALVADOR-BA;1238;2529737;92439
BRASILIA-DF;2281;2492110;93774
FORTALEZA-CE;1168;2436398;74509
BELO HORIZONTE-MG;1867;2330398;69402
MANAUS-AM;1222;1776339;48672
CURITIBA-PR;1957;1724558;58121
RECIFE-PE;1447;1490662;49023
BELEM-PA;1247;1373612;30558
PORTO ALEGRE-RS;2040;1349109;43416
GOIANIA-GO;1715;1287441;42603
GUARULHOS-SP;1193;1161854;30377
CAMPINAS-SP;1827;1050682;30753
SAO LUIS-MA;1170;1014575;27340
SAO GONCALO-RJ;974;962210;17595
MACEIO-AL;1148;916602;28996
DUQUE DE CAXIAS-RJ;915;825302;18693
NATAL-RN;1328;805183;24356
TERESINA-PI;1119;797577;17927
NOVA IGUACU-RJ;913;784746;21033
CAMPO GRANDE-MS;1460;772160;28055
JOAO PESSOA-PB;1345;715061;25202
SAO BERNARDO DO CAMPO-SP;1586;695782;16070
OSASCO-SP;1327;661193;16720
SANTO ANDRE-SP;1669;653495;14504
JABOATAO DOS GUARARAPES-PE;913;642289;11579
SAO JOSE DOS CAMPOS-SP;1621;609581;16515
CONTAGEM-MG;1121;595136;22403
RIBEIRAO PRETO-SP;1670;592015;19812
UBERLANDIA-MG;1369;591441;22817
SOROCABA-SP;1497;576848;18642
ARACAJU-SE;1463;566456;16825
CUIABA-MT;1553;544591;22607
FEIRA DE SANTANA-BA;916;543814;19096
JUIZ DE FORA-MG;1395;506015;15614
JOINVILLE-SC;1479;504807;14209
LONDRINA-PR;1483;498326;13710
BELFORD ROXO-RJ;806;486480;8446
ANANINDEUA-PA;925;477071;11288
SAO JOAO DE MERITI-RJ;928;467945;11592
APARECIDA DE GOIANIA-GO;1000;457182;12497
NITEROI-RJ;2479;444645;17543
CAMPOS DOS GOYTACAZES-RJ;1089;434028;11465
CAXIAS DO SUL-RS;1521;420629;12085
MAUA-SP;1089;412918;5736
FLORIANOPOLIS-SC;2281;412505;26051
VILA VELHA-ES;1650;406488;18576
SANTOS-SP;2097;403857;12956
SAO JOSE DO RIO PRETO-SP;1564;403282;14234
PORTO VELHO-RO;1399;401716;14227
SERRA-ES;1070;400589;16307
DIADEMA-SP;1091;394179;8629
OLINDA-PE;967;392649;9012
MACAPA-AP;1279;379560;12006
BETIM-MG;980;378970;7973
CAMPINA GRANDE-PB;978;374968;8006
MOGI DAS CRUZES-SP;1368;368756;10085
CARAPICUIBA-SP;1149;366115;7544
PIRACICABA-SP;1540;356719;7629
MONTES CLAROS-MG;1007;354387;11936
JUNDIAI-SP;1797;354079;9899
MARINGA-PR;1604;349047;15617
CARIACICA-ES;944;342445;10769
BAURU-SP;1473;337758;13720
ANAPOLIS-GO;1176;328542;10968
RIO BRANCO-AC;1199;323107;9927
CANOAS-RS;1295;321385;8201
SAO VICENTE-SP;1168;319588;9140
VITORIA-ES;2274;316748;10094
PELOTAS-RS;1193;315212;8849
FRANCA-SP;1166;314217;9207
ITAQUAQUECETUBA-SP;898;312416;5650
BLUMENAU-SC;1520;304770;7869
PONTA GROSSA-PR;1281;303366;10987
CARUARU-PE;840;302638;5193
CAUCAIA-CE;673;302360;7474
RIBEIRAO DAS NEVES-MG;775;299876;6078
VITORIA DA CONQUISTA-BA;859;299380;9643
PAULISTA-PE;878;290201;7427
PETROPOLIS-RJ;1222;287739;9605
GUARUJA-SP;1141;286182;6909
UBERABA-MG;1328;285157;8051
PETROLINA-PE;886;282043;7202
BOA VISTA-RR;1245;277352;11723
TAUBATE-SP;1486;276918;7322
CASCAVEL-PR;1345;276091;11018
SANTAREM-PA;777;270484;6896
LIMEIRA-SP;1287;268564;9635
SUZANO-SP;1069;264144;5786
SAO JOSE DOS PINHAIS-PR;1224;261178;10928
PRAIA GRANDE-SP;1199;258547;9654
GOVERNADOR VALADARES-MG;1057;258192;7736
VOLTA REDONDA-RJ;1291;257740;6881
GRAVATAI-RS;1099;254209;7036
MOSSORO-RN;976;252906;6216
SANTA MARIA-RS;1505;252533;8633
FOZ DO IGUACU-PR;1238;252496;8411
VARZEA GRANDE-MT;1016;250282;8242
NOVO HAMBURGO-RS;1260;249862;5526
IMPERATRIZ-MA;982;242848;7650
JUAZEIRO DO NORTE-CE;734;242722;5205
SUMARE-SP;1165;239545;7371
BARUERI-SP;1649;239530;8582
IPATINGA-MG;1252;237203;5587
CAMACARI-BA;886;233508;6855
VIAMAO-RS;1016;232408;5855
EMBU DAS ARTES-SP;978;224686;4548
ITABORAI-RJ;875;224322;5553
TABOAO DA SERRA-SP;1146;224275;5172
MAGE-RJ;884;223488;7207
MARABA-PA;973;221849;6029
PALMAS-TO;1523;221184;13275
SAO CARLOS-SP;1486;216577;7299
COLOMBO-PR;1019;215024;6799
ARAPIRACA-AL;718;211993;4203
MARILIA-SP;1316;210079;7699
SETE LAGOAS-MG;1111;209654;5400
SAO LEOPOLDO-RS;1258;209214;5301
DIVINOPOLIS-MG;1193;207361;7116
MARACANAU-CE;647;205842;6181
AMERICANA-SP;1565;205706;6140
JACAREI-SP;1284;205037;4100
ITAPEVI-SP;966;203425;3666
PARNAMIRIM-RN;1286;202519;6658
PRESIDENTE PRUDENTE-SP;1458;202156;5538
ARARAQUARA-SP;1432;202070;6986
MACAE-RJ;1545;200723;5642
ITABUNA-BA;942;200656;7479
SAO JOSE-SC;1485;200370;7959
SANTA LUZIA-MG;857;199756;5681
INDAIATUBA-SP;1550;199714;7256
ALVORADA-RS;906;196935;4498
COTIA-SP;1595;194590;6345
JUAZEIRO-BA;804;192014;4693
HORTOLANDIA-SP;1065;191503;5703
RIO GRANDE-RS;1201;189894;5400
DOURADOS-MS;1250;188178;5564
CRICIUMA-SC;1398;187345;4630
RONDONOPOLIS-MT;1244;187052;5963
CACHOEIRO DE ITAPEMIRIM-ES;1088;184708;5602
CABO FRIO-RJ;1189;182880;9380
RIO CLARO-SP;1382;181943;4599
SOBRAL-CE;744;181754;3467
SANTA BARBARA DOESTE-SP;1209;181572;4365
PASSO FUNDO-RS;1362;179483;6743
ARACATUBA-SP;1360;178222;5913
CHAPECO-SC;1312;178059;5307
ITAJAI-SC;1399;176797;14207
ILHEUS-BA;921;176365;5705
CABO DE SANTO AGOSTINHO-PE;770;175288;4055
MESQUITA-RJ;1033;175258;3764
FERRAZ DE VASCONCELOS-SP;931;172062;4019
NOVA FRIBURGO-RJ;1171;171797;5325
BARRA MANSA-RJ;1059;171525;5580
LAURO DE FREITAS-BA;1477;171045;8100
