Cidade,Uf,mes/ano,mub
SAO PAULO,SP,01/06/2022,726.371
RIO DE JANEIRO,RJ,01/06/2022,438.506
SALVADOR,BA,01/06/2022,100.580
BRASILIA,DF,01/06/2022,262.343
FORTALEZA,CE,01/06/2022,111.628
BELO HORIZONTE,MG,01/06/2022,195.980
MANAUS,AM,01/06/2022,76.518
CURITIBA,PR,01/06/2022,236.018
RECIFE,PE,01/06/2022,72.159
BELEM,PA,01/06/2022,55.020
PORTO ALEGRE,RS,01/06/2022,133.577
GOIANIA,GO,01/06/2022,139.700
GUARULHOS,SP,01/06/2022,62.078
CAMPINAS,SP,01/06/2022,102.161
SAO LUIS,MA,01/06/2022,39.902
SAO GONCALO,RJ,01/06/2022,49.538
MACEIO,AL,01/06/2022,48.298
DUQUE DE CAXIAS,RJ,01/06/2022,29.653
NATAL,RN,01/06/2022,59.354
TERESINA,PI,01/06/2022,50.198
NOVA IGUACU,RJ,01/06/2022,21.909
CAMPO GRANDE,MS,01/06/2022,56.816
JOAO PESSOA,PB,01/06/2022,70.362
SAO BERNARDO DO CAMPO,SP,01/06/2022,76.752
OSASCO,SP,01/06/2022,42.384
SANTO ANDRE,SP,01/06/2022,58.169
JABOATAO DOS GUARARAPES,PE,01/06/2022,20.528
SAO JOSE DOS CAMPOS,SP,01/06/2022,73.767
CONTAGEM,MG,01/06/2022,28.343
RIBEIRAO PRETO,SP,01/06/2022,63.048
UBERLANDIA,MG,01/06/2022,68.679
SOROCABA,SP,01/06/2022,78.591
ARACAJU,SE,01/06/2022,39.016
CUIABA,MT,01/06/2022,37.730
FEIRA DE SANTANA,BA,01/06/2022,24.443
JUIZ DE FORA,MG,01/06/2022,55.024
JOINVILLE,SC,01/06/2022,27.430
LONDRINA,PR,01/06/2022,58.471
BELFORD ROXO,RJ,01/06/2022,13.477
ANANINDEUA,PA,01/06/2022,18.041
SAO JOAO DE MERITI,RJ,01/06/2022,12.718
APARECIDA DE GOIANIA,GO,01/06/2022,17.589
NITEROI,RJ,01/06/2022,64.282
CAMPOS DOS GOYTACAZES,RJ,01/06/2022,35.198
CAXIAS DO SUL,RS,01/06/2022,19.952
MAUA,SP,01/06/2022,24.697
FLORIANOPOLIS,SC,01/06/2022,76.740
VILA VELHA,ES,01/06/2022,53.336
SANTOS,SP,01/06/2022,26.318
SAO JOSE DO RIO PRETO,SP,01/06/2022,35.769
PORTO VELHO,RO,01/06/2022,24.558
SERRA,ES,01/06/2022,37.146
DIADEMA,SP,01/06/2022,19.198
OLINDA,PE,01/06/2022,14.195
MACAPA,AP,01/06/2022,10.334
BETIM,MG,01/06/2022,33.801
CAMPINA GRANDE,PB,01/06/2022,24.882
MOGI DAS CRUZES,SP,01/06/2022,29.560
CARAPICUIBA,SP,01/06/2022,34.613
PIRACICABA,SP,01/06/2022,45.846
MONTES CLAROS,MG,01/06/2022,20.418
JUNDIAI,SP,01/06/2022,41.399
MARINGA,PR,01/06/2022,56.436
CARIACICA,ES,01/06/2022,18.840
BAURU,SP,01/06/2022,21.182
ANAPOLIS,GO,01/06/2022,19.800
RIO BRANCO,AC,01/06/2022,17.450
CANOAS,RS,01/06/2022,37.452
SAO VICENTE,SP,01/06/2022,10.228
VITORIA,ES,01/06/2022,39.648
PELOTAS,RS,01/06/2022,21.332
FRANCA,SP,01/06/2022,35.197
ITAQUAQUECETUBA,SP,01/06/2022,8.509
BLUMENAU,SC,01/06/2022,26.196
PONTA GROSSA,PR,01/06/2022,22.579
CARUARU,PE,01/06/2022,29.466
CAUCAIA,CE,01/06/2022,4.910
