Cidade,Uf,mes/ano,reativacao
SAO PAULO,SP,01/06/2022,"3,51%"
RIO DE JANEIRO,RJ,01/06/2022,"4,34%"
SALVADOR,BA,01/06/2022,"5,45%"
BRASILIA,DF,01/06/2022,"3,51%"
FORTALEZA,CE,01/06/2022,"4,05%"
BELO HORIZONTE,MG,01/06/2022,"4,34%"
MANAUS,AM,01/06/2022,"5,12%"
CURITIBA,PR,01/06/2022,"2,54%"
RECIFE,PE,01/06/2022,"3,45%"
BELEM,PA,01/06/2022,"4,94%"
PORTO ALEGRE,RS,01/06/2022,"2,74%"
GOIANIA,GO,01/06/2022,"3,29%"
GUARULHOS,SP,01/06/2022,"3,92%"
CAMPINAS,SP,01/06/2022,"3,00%"
SAO LUIS,MA,01/06/2022,"2,77%"
SAO GONCALO,RJ,01/06/2022,"5,99%"
MACEIO,AL,01/06/2022,"4,17%"
DUQUE DE CAXIAS,RJ,01/06/2022,"5,23%"
NATAL,RN,01/06/2022,"3,45%"
TERESINA,PI,01/06/2022,"3,04%"
NOVA IGUACU,RJ,01/06/2022,"5,48%"
CAMPO GRANDE,MS,01/06/2022,"4,71%"
JOAO PESSOA,PB,01/06/2022,"2,98%"
SAO BERNARDO DO CAMPO,SP,01/06/2022,"3,52%"
OSASCO,SP,01/06/2022,"4,18%"
SANTO ANDRE,SP,01/06/2022,"3,29%"
JABOATAO DOS GUARARAPES,PE,01/06/2022,"5,03%"
SAO JOSE DOS CAMPOS,SP,01/06/2022,"2,88%"
CONTAGEM,MG,01/06/2022,"4,19%"
RIBEIRAO PRETO,SP,01/06/2022,"4,02%"
UBERLANDIA,MG,01/06/2022,"3,83%"
SOROCABA,SP,01/06/2022,"3,06%"
ARACAJU,SE,01/06/2022,"4,62%"
CUIABA,MT,01/06/2022,"3,79%"
FEIRA DE SANTANA,BA,01/06/2022,"4,12%"
JUIZ DE FORA,MG,01/06/2022,"3,91%"
JOINVILLE,SC,01/06/2022,"3,60%"
LONDRINA,PR,01/06/2022,"3,14%"
BELFORD ROXO,RJ,01/06/2022,"6,51%"
ANANINDEUA,PA,01/06/2022,"4,71%"
SAO JOAO DE MERITI,RJ,01/06/2022,"7,52%"
APARECIDA DE GOIANIA,GO,01/06/2022,"5,72%"
NITEROI,RJ,01/06/2022,"3,33%"
CAMPOS DOS GOYTACAZES,RJ,01/06/2022,"3,08%"
CAXIAS DO SUL,RS,01/06/2022,"3,27%"
MAUA,SP,01/06/2022,"3,32%"
FLORIANOPOLIS,SC,01/06/2022,"4,13%"
VILA VELHA,ES,01/06/2022,"4,19%"
SANTOS,SP,01/06/2022,"3,35%"
SAO JOSE DO RIO PRETO,SP,01/06/2022,"2,90%"
PORTO VELHO,RO,01/06/2022,"2,96%"
SERRA,ES,01/06/2022,"5,63%"
DIADEMA,SP,01/06/2022,"3,61%"
OLINDA,PE,01/06/2022,"4,78%"
MACAPA,AP,01/06/2022,"4,82%"
BETIM,MG,01/06/2022,"3,94%"
CAMPINA GRANDE,PB,01/06/2022,"3,86%"
MOGI DAS CRUZES,SP,01/06/2022,"3,88%"
CARAPICUIBA,SP,01/06/2022,"3,76%"
PIRACICABA,SP,01/06/2022,"3,81%"
MONTES CLAROS,MG,01/06/2022,"5,14%"
JUNDIAI,SP,01/06/2022,"2,44%"
